,"LEGEND:Categories of green economic activity:Definition Elements:Y: Included1. Renewable energy5. Recycling and waste reduction1. Direct green good or serviceN: Excluded2. Energy efficiency6. Agricultural and natural resources conservation2. Indirect green good or service3. Greenhouse gas reduction7. Education, compliance, public awareness, and training3. Specialized input to elements 1 or 24. Pollution reduction and cleanup4. Distribution of green goods",Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,NAICS 2007,Title,Included,"Category ofgreeneconomicactivity(1-7)","Definitionelements(1-4)",Example of green good or service
1,111110,Soybean farming,Y,6,2,"USDA certified organic produce, soybeans for biodiesel"
2,111120,"Oilseed, except soybean, farming",Y,6,2,USDA certified organic produce
3,111130,Dry pea and bean farming,Y,6,2,USDA certified organic produce
4,111140,Wheat farming,Y,6,2,USDA certified organic produce
5,111150,Corn farming,Y,6,2,"USDA certified organic produce, growing corn for ethanol"
6,111160,Rice farming,Y,6,2,USDA certified organic produce
7,111191,Oilseed and grain combination farming,Y,6,2,USDA certified organic produce
8,111199,All other grain farming,Y,6,2,"USDA certified organic produce, growing sorghum for ethanol"
9,111211,Potato farming,Y,6,2,USDA certified organic produce
10,111219,Other vegetable and melon farming,Y,6,2,USDA certified organic produce
11,111310,Orange groves,Y,6,2,USDA certified organic produce
12,111320,"Citrus, except orange, groves",Y,6,2,USDA certified organic produce
13,111331,Apple orchards,Y,6,2,USDA certified organic produce
14,111332,Grape vineyards,Y,6,2,USDA certified organic produce
15,111333,Strawberry farming,Y,6,2,USDA certified organic produce
16,111334,"Berry, except strawberry, farming",Y,6,2,USDA certified organic produce
17,111335,Tree nut farming,Y,6,2,USDA certified organic produce
18,111336,Fruit and tree nut combination farming,Y,6,2,USDA certified organic produce
19,111339,Other non-citrus fruit farming,Y,6,2,USDA certified organic produce
20,111411,Mushroom production,Y,6,2,USDA certified organic produce
21,111419,Other food crops grown under cover,Y,6,2,USDA certified organic produce
22,111421,Nursery and tree production,Y,6,2,USDA certified organic products
23,111422,Floriculture production,Y,6,2,USDA certified organic products
24,111910,Tobacco farming,Y,6,2,USDA certified organic tobacco
25,111920,Cotton farming,Y,6,2,USDA certified organic cotton
26,111930,Sugarcane farming,Y,6,2,"USDA certified organic produce, sugarcane for ethanol"
27,111940,Hay farming,Y,6,2,USDA certified organic produce
28,111991,Sugar beet farming,Y,6,2,"USDA certified organic produce, sugar beets for ethanol"
29,111992,Peanut farming,Y,6,2,USDA certified organic produce
30,111998,All other miscellaneous crop farming,Y,6,2,USDA certified organic produce
31,112111,Beef cattle ranching and farming,Y,6,2,USDA certified organic beef
32,112112,Cattle feedlots,Y,6,2,USDA certified organic meat
33,112120,Dairy cattle and milk production,Y,6,2,USDA certified organic dairy
34,112210,Hog and pig farming,Y,6,2,USDA certified organic meat
35,112310,Chicken egg production,Y,6,2,USDA certified organic meat
36,112320,Broilers and meat type chicken production,Y,6,2,USDA certified organic meat
37,112330,Turkey production,Y,6,2,USDA certified organic meat
38,112340,Poultry hatcheries,Y,6,2,USDA certified organic meat
39,112390,Other poultry production,Y,6,2,USDA certified organic meat
40,112410,Sheep farming,Y,6,2,USDA certified organic meat
41,112420,Goat farming,Y,6,2,USDA certified organic meat
42,112511,Finfish farming and fish hatcheries,Y,6,2,USDA certified organic fish
43,112512,Shellfish farming,Y,6,2,USDA certified organic fish
44,112519,Other aquaculture,Y,6,2,USDA certified organic fish
45,112910,Apiculture,Y,6,2,Organic honey
46,112920,Horses and other equine production,N,,,
47,112930,Fur-bearing animal and rabbit production,Y,6,2,USDA certified organic meat
48,112990,All other animal production,Y,6,2,USDA certified organic meat
49,113110,Timber tract operations,N,,,
50,NAICS 2007,Title,Included,"Category ofgreeneconomicactivity(1-7)","Definitionelements(1-4)",Example of green good or service
51,113210,Forest nursery and gathering forest products,Y,6,1,Growing trees for reforestation
52,113310,Logging,Y,1,3,Wood chips for biomass
53,114111,Finfish fishing,N,,,
54,114112,Shellfish fishing,N,,,
55,114119,Other marine fishing,N,,,
56,114210,Hunting and trapping,N,,,
57,115111,Cotton ginning,Y,6,3,Specialized services for USDA certified organic production
58,115112,"Soil preparation, planting, and cultivating",Y,6,3,Specialized services for USDA certified organic production
59,115113,"Crop harvesting, primarily by machine",Y,6,3,Specialized services for USDA certified organic production
60,115114,Other postharvest crop activities,Y,6,3,Specialized services for USDA certified organic production
61,115115,Farm labor contractors and crew leaders,N,,,
62,115116,Farm management services,Y,6,3,Specialized services for USDA certified organic production
63,115210,Support activities for animal production,Y,6,3,Specialized services for USDA certified organic production
64,115310,Support activities for forestry,Y,6,1,Reforestation consulting
65,211111,Crude petroleum and natural gas extraction,N,,,
66,211112,Natural gas liquid extraction,N,,,
67,212111,Bituminous coal and lignite surface mining,N,,,
68,212112,Bituminous coal underground mining,N,,,
69,212113,Anthracite mining,N,,,
70,212210,Iron ore mining,N,,,
71,212221,Gold ore mining,N,,,
72,212222,Silver ore mining,N,,,
73,212231,Lead ore and zinc ore mining,N,,,
74,212234,Copper ore and nickel ore mining,N,,,
75,212291,Uranium-radium-vanadium ore mining,N,,,
76,212299,All other metal ore mining,N,,,
77,212311,Dimension stone mining and quarrying,N,,,
78,212312,Crushed and broken limestone mining,N,,,
79,212313,Crushed and broken granite mining,N,,,
80,212319,Other crushed and broken stone mining,N,,,
81,212321,Construction sand and gravel mining,N,,,
82,212322,Industrial sand mining,N,,,
83,212324,Kaolin and ball clay mining,N,,,
84,212325,"Clay, ceramic, and refractory minerals mining",N,,,
85,212391,"Potash, soda, and borate mineral mining",N,,,
86,212392,Phosphate rock mining,N,,,
87,212393,Other chemical and fertilizer mineral mining,N,,,
88,212399,All other nonmetallic mineral mining,N,,,
89,213111,Drilling oil and gas wells,N,,,
90,213112,Support activities for oil and gas operations,N,,,
91,213113,Support activities for coal mining,N,,,
92,213114,Support activities for metal mining,N,,,
93,213115,Support activities for nonmetallic minerals,N,,,
94,221111,Hydroelectric power generation,Y,1,2,Hydroelectric power plants
95,221112,Fossil fuel electric power generation,N,,,
96,221113,Nuclear electric power generation,Y,3,2,Nuclear power plants
97,221119,Other electric power generation,Y,1,2,"Biomass, solar, wind, geothermal, etc power plants"
98,221121,Electric bulk power transmission and control,Y,1,4,Distribution of renewable energy
99,221122,Electric power distribution,Y,1,4,Distribution of renewable energy
100,NAICS 2007,Title,Included,"Category ofgreeneconomicactivity(1-7)","Definitionelements(1-4)",Example of green good or service
101,221210,Natural gas distribution,N,,,
102,221310,Water supply and irrigation systems,Y,5,1,Water treatment plants
103,221320,Sewage treatment facilities,Y,5,1,Sewage treatment plants
104,221330,Steam and air-conditioning supply,Y,1,2,Geothermal steam production
105,236115,New single-family general contractors,Y,2,2,LEED single family residences
106,236116,New multifamily general contractors,Y,2,2,LEED apartment buildings
107,236117,New housing operative builders,Y,2,2,LEED buildings sold to clients
108,236118,Residential remodelers,Y,2,1,Weatherization
109,236210,Industrial building construction,Y,2,2,LEED-certified buildings
110,236220,Commercial building construction,Y,2,2,LEED-certified buildings
111,237110,Water and sewer system construction,Y,5,1,"Construction of water treatment plants, geothermal plants"
112,237120,Oil and gas pipeline construction,N,,,
113,237130,Power and communication system construction,Y,1,2,Construction of renewable energy plants
114,237210,Land subdivision,Y,2,1,"Smart growth developments, power site development"
115,237310,"Highway, street, and bridge construction",N,,,
116,237990,Other heavy construction,Y,1,1,"Nuclear waste disposal site construction, dams, parks, subways"
117,238111,Residential poured foundation contractors,Y,2,2,"Pouring LEED-eligible foundations, pouring foundations for LEED construction projects"
118,238112,Nonresidential poured foundation contractors,Y,2,2,"Pouring LEED-eligible foundations, pouring foundations for LEED construction projects"
119,238121,Residential structural steel contractors,Y,5,2,Construction of LEED-eligible buildings
120,238122,Nonresidential structural steel contractors,Y,5,2,Construction of LEED-eligible buildings
121,238131,Residential framing contractors,Y,2,2,Construction of LEED- and Energy Star certified  buildings
122,238132,Nonresidential framing contractors,Y,2,2,Construction of LEED- and Energy Star certified  buildings
123,238141,Residential masonry contractors,Y,2,2,Construction of LEED-eligible buildings
124,238142,Nonresidential masonry contractors,Y,2,2,Construction of LEED-eligible buildings
125,238151,Residential glass and glazing contractors,Y,2,2,"Installation of Energy Star certified windows, LEED-eligible windows; installing windows on LEEDconstruction project"
126,238152,Nonresidential glass and glazing contractors,Y,2,2,"Installation of Energy Star certified windows, LEED-eligible windows; installing windows on LEEDconstruction project"
127,238161,Residential roofing contractors,Y,2,2,"Installation of Energy Star certified  roofs, LEED-eligible roof, roof work on LEED project"
128,238162,Nonresidential roofing contractors,Y,2,2,"Installation of Energy Star certified  roofs, LEED-eligible roof, roof work on LEED project"
129,238171,Residential siding contractors,Y,2,2,Installation of energy-efficient or LEED-eligible siding; installing siding on LEED project
130,238172,Nonresidential siding contractors,Y,2,2,Installation of energy-efficient or LEED-eligible siding; installing siding on LEED project
131,238191,Other residential exterior contractors,Y,2,2,Building of curtain walls to LEED standards
132,238192,Other nonresidential exterior contractors,Y,2,2,Building of curtain walls to LEED standards
133,238211,Residential electrical contractors,Y,2,2,Installation of efficient environmental control systems
134,238212,Nonresidential electrical contractors,Y,2,2,Installation of efficient environmental control systems
135,238221,Residential plumbing and HVAC contractors,Y,2,2,Installation of Energy Star HVAC systems
136,238222,Nonresidential plumbing and HVAC contractors,Y,2,2,Installation of Energy Star HVAC systems
137,238291,Other residential building equipment contractors,Y,2,2,Installation of revolving doors for LEED standards
138,238292,Other nonresidential bldg equipment contractors,Y,2,2,Installation of revolving doors for LEED standards
139,238311,Residential drywall contractors,Y,5,2,Installation of LEED-eligible drywall
140,238312,Nonresidential drywall contractors,Y,5,2,Installation of LEED-eligible drywall
141,238321,Residential painting contractors,Y,4,2,Use of LEED-eligible paints meeting VOC limits
142,238322,Nonresidential painting contractors,Y,4,2,Use of LEED-eligible paints meeting VOC limits
143,238331,Residential flooring contractors,Y,4,2,"Use of LEED-eligible, low-emitting material-based floorings"
144,238332,Nonresidential flooring contractors,Y,4,2,"Use of LEED-eligible, low-emitting material-based floorings"
145,238341,Residential tile and terrazzo contractors,Y,4,2,"Use of LEED-eligible, low-emitting material-based tiles"
146,238342,Nonresidential tile and terrazzo contractors,Y,4,2,"Use of LEED-eligible, low-emitting material-based tiles"
147,238351,Residential finish carpentry contractors,Y,2,2,Installation of LEED-eligible windows
148,NAICS 2007,Title,Included,"Category ofgreeneconomicactivity(1-7)","Definitionelements(1-4)",Example of green good or service
149,238352,Nonresidential finish carpentry contractors,Y,2,2,Installation of LEED-eligible windows
150,238391,Other residential finishing contractors,Y,2,2,Installation of LEED-eligible weather stripping
151,238392,Other nonresidential finishing contractors,Y,2,2,Installation of LEED-eligible weather stripping
152,238911,Residential site preparation contractors,Y,6,2,LEED-eligible demolition contractors
153,238912,Nonresidential site preparation contractors,Y,6,2,LEED-eligible demolition contractors
154,238991,All other residential trade contractors,Y,6,2,LEED-eligible concrete paving
155,238992,All other nonresidential trade contractors,Y,6,2,LEED-eligible concrete paving
156,311111,Dog and cat food manufacturing,Y,6,2,USDA certified organic pet food
157,311119,Other animal food manufacturing,Y,6,2,USDA certified organic animal feed
158,311211,Flour milling,Y,6,2,USDA certified organic flour
159,311212,Rice milling,Y,6,2,USDA certified organic rice
160,311213,Malt manufacturing,Y,6,2,USDA certified organic malts for brewing
161,311221,Wet corn milling,Y,6,2,USDA certified organic corn syrup
162,311222,Soybean processing,Y,6,2,USDA certified organic soybean oil
163,311223,Other oilseed processing,Y,6,2,USDA certified organic food products
164,311225,Fats and oils refining and blending,Y,6,2,USDA certified organic food products
165,311230,Breakfast cereal manufacturing,Y,6,2,USDA certified organic food products
166,311311,Sugarcane mills,Y,6,2,USDA certified organic food products
167,311312,Cane sugar refining,Y,6,2,USDA certified organic food products
168,311313,Beet sugar manufacturing,Y,6,2,USDA certified organic food products
169,311320,Confectionery manufacturing from cacao beans,Y,6,2,USDA certified organic food products
170,311330,Confectionery mfg. from purchased chocolate,Y,6,2,USDA certified organic food products
171,311340,Nonchocolate confectionery manufacturing,Y,6,2,USDA certified organic food products
172,311411,Frozen fruit and vegetable manufacturing,Y,6,2,USDA certified organic food products
173,311412,Frozen specialty food manufacturing,Y,6,2,USDA certified organic food products
174,311421,Fruit and vegetable canning,Y,6,2,USDA certified organic food products
175,311422,Specialty canning,Y,6,2,USDA certified organic food products
176,311423,Dried and dehydrated food manufacturing,Y,6,2,USDA certified organic food products
177,311511,Fluid milk manufacturing,Y,6,2,USDA certified organic food products
178,311512,Creamery butter manufacturing,Y,6,2,USDA certified organic food products
179,311513,Cheese manufacturing,Y,6,2,USDA certified organic food products
180,311514,"Dry, condensed, and evaporated dairy products",Y,6,2,USDA certified organic food products
181,311520,Ice cream and frozen dessert manufacturing,Y,6,2,USDA certified organic food products
182,311611,"Animal, except poultry, slaughtering",Y,6,2,USDA certified organic food products
183,311612,Meat processed from carcasses,Y,6,2,USDA certified organic food products
184,311613,Rendering and meat byproduct processing,Y,6,2,USDA certified organic food products
185,311615,Poultry processing,Y,6,2,USDA certified organic food products
186,311711,Seafood canning,Y,6,2,USDA certified organic food products
187,311712,Fresh and frozen seafood processing,Y,6,2,USDA certified organic food products
188,311811,Retail bakeries,Y,6,2,USDA certified organic food products
189,311812,Commercial bakeries,Y,6,2,USDA certified organic food products
190,311813,Frozen cakes and other pastries manufacturing,Y,6,2,USDA certified organic food products
191,311821,Cookie and cracker manufacturing,Y,6,2,USDA certified organic food products
192,311822,Mixes and dough made from purchased flour,Y,6,2,USDA certified organic food products
193,311823,Dry pasta manufacturing,Y,6,2,USDA certified organic food products
194,311830,Tortilla manufacturing,Y,6,2,USDA certified organic food products
195,311911,Roasted nuts and peanut butter manufacturing,Y,6,2,USDA certified organic food products
196,311919,Other snack food manufacturing,Y,6,2,USDA certified organic food products
197,311920,Coffee and tea manufacturing,Y,6,2,USDA certified organic food products
198,NAICS 2007,Title,Included,"Category ofgreeneconomicactivity(1-7)","Definitionelements(1-4)",Example of green good or service
199,311930,Flavoring syrup and concentrate manufacturing,Y,6,2,USDA certified organic food products
200,311941,"Mayonnaise, dressing, and sauce manufacturing",Y,6,2,USDA certified organic food products
201,311942,Spice and extract manufacturing,Y,6,2,USDA certified organic food products
202,311991,Perishable prepared food manufacturing,Y,6,2,USDA certified organic food products
203,311999,All other miscellaneous food manufacturing,Y,6,2,USDA certified organic food products
204,312111,Soft drink manufacturing,Y,6,2,USDA certified organic food products
205,312112,Bottled water manufacturing,N,,,
206,312113,Ice manufacturing,N,,,
207,312120,Breweries,Y,6,2,USDA certified organic food products
208,312130,Wineries,Y,6,2,USDA certified organic food products
209,312140,Distilleries,Y,6,2,USDA certified organic food products
210,312210,Tobacco stemming and redrying,Y,6,2,USDA certified organic tobacco products
211,312221,Cigarette manufacturing,Y,6,2,USDA certified organic tobacco products
212,312229,Other tobacco product manufacturing,Y,6,2,USDA certified organic tobacco products
213,313111,Yarn spinning mills,Y,6,2,"USDA certified organic cotton, wool"
214,313112,Yarn texturizing and twisting mills,Y,6,2,"USDA certified organic cotton, wool"
215,313113,Thread mills,Y,6,2,"USDA certified organic cotton, wool"
216,313210,Broadwoven fabric mills,Y,6,2,USDA certified organic textiles
217,313221,Narrow fabric mills,Y,6,2,USDA certified organic textiles
218,313222,Schiffli machine embroidery,N,,,
219,313230,Nonwoven fabric mills,Y,6,2,USDA certified organic textiles
220,313241,Weft knit fabric mills,Y,6,2,USDA certified organic textiles
221,313249,Other knit fabric and lace mills,Y,6,2,USDA certified organic textiles
222,313311,Broadwoven fabric finishing mills,N,,,
223,313312,Other textile and fabric finishing mills,N,,,
224,313320,Fabric coating mills,N,,,
225,314110,Carpet and rug mills,Y,2,2,LEED-eligible carpeting
226,314121,Curtain and drapery mills,Y,2,2,LEED-eligible curtains
227,314129,Other household textile product mills,N,,,
228,314911,Textile bag mills,N,,,
229,314912,Canvas and related product mills,N,,,
230,314991,"Rope, cordage, and twine mills",N,,,
231,314992,Tire cord and tire fabric mills,N,,,
232,314999,All other miscellaneous textile product mills,Y,5,2,Reclaimed wool processing
233,315111,Sheer hosiery mills,N,,,
234,315119,Other hosiery and sock mills,N,,,
235,315191,Outerwear knitting mills,N,,,
236,315192,Underwear and nightwear knitting mills,N,,,
237,315211,Men's and boys apparel contractors,N,,,
238,315212,"Women's, girls, infants apparel contractors",N,,,
239,315221,Men's and boys underwear and nightwear mfg,N,,,
240,315222,"Men's and boys suit, coat, and overcoat mfg",N,,,
241,315223,"Men's and boys shirt, except work shirt, mfg",N,,,
242,315224,"Men's and boys pants, except work pants, mfg",N,,,
243,315225,Men's and boys work clothing manufacturing,N,,,
244,315228,Other men's and boys outerwear manufacturing,N,,,
245,315231,Women's and girls lingerie and nightwear mfg,N,,,
246,315232,Women's and girls blouse and shirt mfg,N,,,
247,315233,Women's and girls dress manufacturing,N,,,
248,NAICS 2007,Title,Included,"Category ofgreeneconomicactivity(1-7)","Definitionelements(1-4)",Example of green good or service
249,315234,"Women's & girls suit, coat & skirt mfg",N,,,
250,315239,Other women's and girls outerwear mfg,N,,,
251,315291,Infants' cut and sew apparel mfg,N,,,
252,315292,Fur and leather apparel manufacturing,N,,,
253,315299,All other cut and sew apparel manufacturing,N,,,
254,315991,"Hat, cap, and millinery manufacturing",N,,,
255,315992,Glove and mitten manufacturing,N,,,
256,315993,Men's and boys' neckwear manufacturing,N,,,
257,315999,All other accessory and apparel manufacturing,N,,,
258,316110,Leather and hide tanning and finishing,N,,,
259,316211,Rubber and plastics footwear manufacturing,N,,,
260,316212,House slipper manufacturing,N,,,
261,316213,Men's nonathletic footwear manufacturing,N,,,
262,316214,Women's nonathletic footwear manufacturing,N,,,
263,316219,Other footwear manufacturing,N,,,
264,316991,Luggage manufacturing,N,,,
265,316992,Women's handbag and purse manufacturing,N,,,
266,316993,Other personal leather good manufacturing,N,,,
267,316999,All other leather and allied good mfg.,N,,,
268,321113,Sawmills,N,,,
269,321114,Wood preservation,Y,2,2,Production of LEED-eligible construction materials
270,321211,Hardwood veneer and plywood manufacturing,Y,4,2,Production of LEED-eligible construction materials
271,321212,Softwood veneer and plywood manufacturing,Y,4,2,Production of LEED-eligible construction materials
272,321213,Engineered wood member manufacturing,Y,4,2,Production of LEED-eligible construction materials
273,321214,Truss manufacturing,Y,4,2,Production of LEED-eligible construction materials
274,321219,Reconstituted wood product manufacturing,Y,4,2,Production of LEED-eligible construction materials
275,321911,Wood window and door manufacturing,Y,4,2,Production of LEED-eligible construction materials
276,321912,"Cut stock, resawing lumber, and planing",N,,,
277,321918,"Other millwork, including flooring",Y,4,2,Production of LEED-eligible construction materials
278,321920,Wood container and pallet mfg,N,,,
279,321991,"Manufactured home, mobile home mfg",Y,4,2,"LEED-eligible, Energy Star prefabricated homes"
280,321992,Prefabricated wood building mfg,Y,4,2,"LEED-eligible, Energy Star prefabricated homes"
281,321999,Miscellaneous wood product mfg,N,,,
282,322110,Pulp mills,Y,5,2,Pulp made with recycled inputs
283,322121,"Paper, except newsprint, mills",Y,5,2,Paper made with recycled inputs
284,322122,Newsprint mills,Y,5,2,Newsprint made with recycled inputs
285,322130,Paperboard mills,Y,5,2,Paperboard made with recycled inputs
286,322211,Corrugated and solid fiber box mfg,N,,,
287,322212,Folding paperboard box manufacturing,N,,,
288,322213,Setup paperboard box manufacturing,N,,,
289,322214,"Fiber can, tube, and drum mfg",N,,,
290,322215,Nonfolding sanitary food container mfg.,N,,,
291,322221,Coated and laminated packaging paper mfg.,N,,,
292,322222,Coated and laminated paper manufacturing,N,,,
293,322223,Coated paper bag and pouch manufacturing,N,,,
294,322224,Uncoated paper and multiwall bag mfg.,N,,,
295,322225,Flexible packaging foil manufacturing,N,,,
296,322226,Surface-coated paperboard manufacturing,N,,,
297,322231,Die-cut paper office supplies manufacturing,N,,,
298,NAICS 2007,Title,Included,"Category ofgreeneconomicactivity(1-7)","Definitionelements(1-4)",Example of green good or service
299,322232,Envelope manufacturing,N,,,
300,322233,Stationery and related product manufacturing,N,,,
301,322291,Sanitary paper product manufacturing,N,,,
302,322299,All other converted paper product mfg.,N,,,
303,323110,Commercial lithographic printing,N,,,
304,323111,Commercial gravure printing,N,,,
305,323112,Commercial flexographic printing,N,,,
306,323113,Commercial screen printing,N,,,
307,323114,Quick printing,N,,,
308,323115,Digital printing,N,,,
309,323116,Manifold business forms printing,N,,,
310,323117,Books printing,N,,,
311,323118,Blankbook and looseleaf binder manufacturing,N,,,
312,323119,Other commercial printing,N,,,
313,323121,Tradebinding and related work,N,,,
314,323122,Prepress services,N,,,
315,324110,Petroleum refineries,N,,,
316,324121,Asphalt paving mixture and block mfg.,Y,5,2,Rubberized asphalt
317,324122,Asphalt shingle and coating materials mfg.,Y,2,2,LEED-eligible roofing asphalt
318,324191,Petroleum lubricating oil and grease mfg.,N,,,
319,324199,All other petroleum and coal products mfg.,N,,,
320,325110,Petrochemical manufacturing,N,,,
321,325120,Industrial gas manufacturing,N,,,
322,325131,Inorganic dye and pigment mfg,N,,,
323,325132,Synthetic organic dye and pigment mfg.,N,,,
324,325181,Alkalies and chlorine manufacturing,N,,,
325,325182,Carbon black manufacturing,N,,,
326,325188,All other basic inorganic chemical mfg.,N,,,
327,325191,Gum and wood chemical manufacturing,N,,,
328,325192,Cyclic crude and intermediate manufacturing,N,,,
329,325193,Ethyl alcohol manufacturing,Y,1,2,Ethanol production
330,325199,All other basic organic chemical mfg.,Y,1,2,Transesterification of vegetable oils to produce fuels or fuel additives
331,325211,Plastics material and resin mfg,N,,,
332,325212,Synthetic rubber manufacturing,N,,,
333,325221,Cellulosic organic fiber manufacturing,N,,,
334,325222,Noncellulosic organic fiber manufacturing,N,,,
335,325311,Nitrogenous fertilizer manufacturing,Y,5,3,Fertilizers approved for use in USDA certified organic agriculture; fertilizer from sewage or animal waste
336,325312,Phosphatic fertilizer manufacturing,Y,5,3,Fertilizers approved for use in USDA certified organic agriculture
337,325314,"Fertilizer, mixing only, manufacturing",Y,5,3,Fertilizers approved for use in USDA certified organic agriculture
338,325320,Pesticide and other ag. chemical mfg.,Y,5,3,Pesticides approved for use in USDA certified organic agriculture
339,325411,Medicinal and botanical manufacturing,Y,6,3,USDA certified organic ingredients for medicine preparation
340,325412,Pharmaceutical preparation mfg,N,,,
341,325413,In-vitro diagnostic substance mfg,N,,,
342,325414,Other biological product manufacturing,N,,,
343,325510,Paint and coating manufacturing,Y,4,2,LEED-eligible low VOC paints
344,325520,Adhesive manufacturing,Y,4,2,LEED-eligible low VOC adhesives
345,325611,Soap and other detergent manufacturing,Y,4,2,Biodegradable soap
346,325612,Polish and other sanitation good mfg.,Y,4,2,LEED-eligible low VOC polishes
347,325613,Surface active agent manufacturing,N,,,
348,NAICS 2007,Title,Included,"Category ofgreeneconomicactivity(1-7)","Definitionelements(1-4)",Example of green good or service
349,325620,Toilet preparation manufacturing,Y,4,2,"USDA certified organic personal care products (shampoo, soap)"
350,325910,Printing ink manufacturing,Y,4,2,Soy-based printing inks
351,325920,Explosives manufacturing,N,,,
352,325991,Custom compounding of purchased resins,Y,5,2,Reformulating plastics resins from recycled plastics products
353,325992,Photographic film and chemical manufacturing,N,,,
354,325998,Other miscellaneous chemical product mfg.,Y,4,2,Soy-based writing inks
355,326111,Plastics bag and pouch manufacturing,Y,5,2,Plastic bags from recycled plastic resins
356,326112,Plastics packaging film and sheet mfg.,Y,5,2,Plastic packaging from recycled plastic resins
357,326113,Nonpackaging plastics film and sheet mfg.,Y,5,2,Plastic film from recycled plastic resins
358,326121,Unlaminated plastics profile shape mfg,Y,5,2,Plastic non-rigid shapes from recycled plastic resins
359,326122,Plastics pipe and pipe fitting mfg,Y,5,2,Plastic pipes from recycled plastic resins
360,326130,"Laminated plastics plate, sheet, and shapes",Y,5,2,Laminated plastic shapes from recycled plastic resins
361,326140,Polystyrene foam product mfg,Y,5,2,Polystyrene foam from recycled plastic resins
362,326150,Urethane and other foam product mfg,Y,5,2,Urethane foam from recycled plastic resins
363,326160,Plastics bottle manufacturing,Y,5,2,Plastic bottles from recycled plastic resins
364,326191,Plastics plumbing fixture mfg,Y,5,2,Plastic plumbing fixtures from recycled plastic resins; EPA WaterSense certified plumbing fixtures
365,326192,Resilient floor covering manufacturing,Y,2,2,LEED-eligible floor coverings
366,326199,All other plastics product manufacturing,Y,5,2,Other plastic products (utensils) from recycled plastic resins
