,"LEGEND:Categories of green economic activity:Definition Elements:Y: Included1. Renewable energy5. Recycling and waste reduction1. Direct green good or serviceN: Excluded2. Energy efficiency6. Agricultural and natural resources conservation2. Indirect green good or service3. Greenhouse gas reduction7. Education, compliance, public awareness, and training3. Specialized input to elements 1 or 24. Pollution reduction and cleanup4. Distribution of green goods",Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
367,326211,"Tire manufacturing, except retreading",N,,,
368,326212,Tire retreading,Y,5,2,Retread tires
369,326220,Rubber and plastics hose and belting mfg.,N,,,
370,326291,Rubber product mfg. for mechanical use,N,,,
371,326299,All other rubber product manufacturing,Y,5,2,Reclaiming rubber from waste or scrap
372,327111,Vitreous china plumbing fixture mfg,Y,6,2,EPA WaterSense certified plumbing fixtures
373,327112,Vitreous china and earthenware articles mfg.,Y,6,2,EPA WaterSense certified plumbing fixtures
374,327113,Porcelain electrical supply mfg,N,,,
375,327121,Brick and structural clay tile mfg,Y,2,2,Production of LEED-eligible construction materials
376,327122,Ceramic wall and floor tile manufacturing,Y,2,2,Production of LEED-eligible construction materials
377,327123,Other structural clay product manufacturing,Y,2,2,Production of LEED-eligible construction materials
378,327124,Clay refractory manufacturing,Y,2,2,Production of LEED-eligible construction materials
379,327125,Nonclay refractory manufacturing,Y,2,2,Production of LEED-eligible construction materials
380,327211,Flat glass manufacturing,Y,5,2,Flat glass from recycled inputs (cullet)
381,327212,Other pressed and blown glass and glassware,Y,5,2,Glassware from recycled inputs (cullet)
382,327213,Glass container manufacturing,Y,5,2,Glass containers from recycled inputs (cullet)
383,327215,Glass product mfg. made of purchased glass,N,,,
384,327310,Cement manufacturing,Y,2,2,LEED-eligible cement
385,327320,Ready-mix concrete manufacturing,Y,2,2,LEED-eligible concrete
386,327331,Concrete block and brick manufacturing,Y,2,2,LEED-eligible concrete blocks
387,327332,Concrete pipe manufacturing,Y,2,2,LEED-eligible concrete pipes
388,327390,Other concrete product manufacturing,Y,2,2,LEED-eligible concrete roofing tile
389,327410,Lime manufacturing,Y,2,2,LEED-eligible limestone
390,327420,Gypsum product manufacturing,Y,2,2,LEED-eligible gypsum board
391,327910,Abrasive product manufacturing,N,,,
392,327991,Cut stone and stone product manufacturing,N,,,
393,327992,Ground or treated minerals & earths mfg,N,,,
394,327993,Mineral wool manufacturing,Y,2,2,Insulation materials
395,327999,Miscellaneous nonmetallic mineral products,Y,2,2,LEED-eligible dry mix concrete
396,331111,Iron and steel mills,Y,5,2,Use of recovered scrap metal in steel balls
397,331112,Ferroalloy and related product manufacturing,N,,,
398,NAICS 2007,Title,Included,"Category ofgreeneconomicactivity(1-7)","Definitionelements(1-4)",Example of green good or service
399,331210,"Iron, steel pipe and tube from purchase steel",Y,5,2,Use of recovered scrap metal in steel pipe
400,331221,Rolled steel shape manufacturing,Y,5,2,Use of recovered scrap metal in steel bars
401,331222,Steel wire drawing,Y,5,2,Use of recovered scrap metal in steel wire
402,331311,Alumina refining,Y,5,2,Use of recovered scrap metal in alumina refining
403,331312,Primary aluminum production,Y,5,2,Use of recovered scrap metal in aluminum production
404,331314,Secondary smelting and alloying of aluminum,Y,5,2,Use of recovered scrap metal in aluminum production
405,331315,"Aluminum sheet, plate, and foil mfg",Y,5,2,Use of recovered scrap metal in aluminum production
406,331316,Aluminum extruded product mfg,Y,5,2,Use of recovered scrap metal in aluminum production
407,331319,Other aluminum rolling and drawing,Y,5,2,Use of recovered scrap metal in aluminum production
408,331411,Primary smelting and refining of copper,N,,,
409,331419,Primary nonferrous metal except Cu & Al,N,,,
410,331421,"Copper rolling, drawing, and extruding",Y,5,2,Use of recovered scrap metal in copper products
411,331422,"Copper wire, except mechanical, drawing",Y,5,2,Use of recovered scrap metal in copper products
412,331423,Secondary processing of copper,Y,5,2,Use of recovered scrap metal in copper products
413,331491,"Nonferrous metal, except Cu and Al, shaping",Y,5,2,Use of recovered scrap metal in nonferrous metal products
414,331492,Secondary processing of other nonferrous,Y,5,2,Use of recovered scrap metal in nonferrous metal products
415,331511,Iron foundries,Y,1,3,"Identifiable, specialized inputs for renewable energy"
416,331512,Steel investment foundries,Y,1,3,"Identifiable, specialized inputs for renewable energy"
417,331513,"Steel foundries, except investment",Y,1,3,"Identifiable, specialized inputs for renewable energy"
418,331521,Aluminum die-casting foundries,Y,1,3,"Identifiable, specialized inputs for renewable energy"
419,331522,"Nonferrous, except Al, die-casting foundries",Y,1,3,"Identifiable, specialized inputs for renewable energy"
420,331524,"Aluminum foundries, except die-casting",Y,1,3,"Identifiable, specialized inputs for renewable energy"
421,331525,"Copper foundries, except die-casting",Y,1,3,"Identifiable, specialized inputs for renewable energy"
422,331528,"Other nonferrous foundries, exc. Die-casting",Y,1,3,"Identifiable, specialized inputs for renewable energy"
423,332111,Iron and steel forging,Y,1,3,"Identifiable, specialized inputs for renewable energy"
424,332112,Nonferrous forging,Y,1,3,"Identifiable, specialized inputs for renewable energy"
425,332114,Custom roll forming,N,,,
426,332115,Crown and closure manufacturing,N,,,
427,332116,Metal stamping,N,,,
428,332117,Powder metallurgy part manufacturing,N,,,
429,332211,"Cutlery & flatware except precious, mfg",N,,,
430,332212,Hand and edge tool manufacturing,N,,,
431,332213,Saw blade and handsaw mfg,N,,,
432,332214,"Kitchen utensil, pot, and pan mfg",N,,,
433,332311,Prefabricated metal buildings and components,N,,,
434,332312,Fabricated structural metal mfg,Y,2,2,LEED-eligible concrete reinforcing bars
435,332313,Plate work manufacturing,N,,,
436,332321,Metal window and door manufacturing,Y,2,2,"LEED-eligible, Energy Star certified metal windows"
437,332322,Sheet metal work manufacturing,N,,,
438,332323,Ornamental and architectural metal work mfg.,N,,,
439,332410,Power boiler and heat exchanger manufacturing,N,,,
440,332420,"Metal tank, heavy gauge, mfg",N,,,
441,332431,Metal can manufacturing,N,,,
442,332439,Other metal container manufacturing,N,,,
443,332510,Hardware manufacturing,N,,,
444,332611,"Spring, heavy gauge, manufacturing",N,,,
445,332612,"Spring, light gauge, manufacturing",N,,,
446,332618,Other fabricated wire product mfg,N,,,
447,332710,Machine shops,N,,,
448,NAICS 2007,Title,Included,"Category ofgreeneconomicactivity(1-7)","Definitionelements(1-4)",Example of green good or service
449,332721,Precision turned product mfg,N,,,
450,332722,"Bolt, nut, screw, rivet, and washer mfg.",N,,,
451,332811,Metal heat treating,N,,,
452,332812,Metal coating and nonprecious engraving,N,,,
453,332813,"Electroplating, anodizing, and coloring metal",N,,,
454,332911,Industrial valve manufacturing,Y,3,3,Valves for nuclear reactors
455,332912,Fluid power valve and hose fitting mfg.,N,,,
456,332913,Plumbing fixture fitting and trim mfg.,Y,2,2,EPA WaterSense certified faucets
457,332919,Other metal valve and pipe fitting mfg.,Y,2,2,EPA WaterSense certified plumbing devices
458,332991,Ball and roller bearing manufacturing,N,,,
459,332992,Small arms ammunition manufacturing,Y,4,2,Lead-free bullets
460,332993,"Ammunition, except small arms, manufacturing",N,,,
461,332994,Small arms manufacturing,N,,,
462,332995,Other ordnance and accessories mfg,N,,,
463,332996,Fabricated pipe and pipe fitting mfg.,Y,2,2,LEED-eligible pipes or pipe fittings
464,332997,Industrial pattern manufacturing,N,,,
465,332998,Enameled iron and metal sanitary ware mfg.,N,,,
466,332999,Misc fabricated metal product mfg.,N,,,
467,333111,Farm machinery and equipment manufacturing,N,,,
468,333112,Lawn and garden equipment manufacturing,Y,4,2,Electric lawnmowers
469,333120,Construction machinery manufacturing,N,,,
470,333131,Mining machinery & equipment mfg,N,,,
471,333132,Oil and gas field machinery and equipment,N,,,
472,333210,Sawmill and woodworking machinery,N,,,
473,333220,Plastics and rubber industry machinery,N,,,
474,333291,Paper industry machinery mfg,N,,,
475,333292,Textile machinery manufacturing,N,,,
476,333293,Printing machinery and equipment mfg,N,,,
477,333294,Food product machinery mfg,N,,,
478,333295,Semiconductor machinery mfg,N,,,
479,333298,All other industrial machinery mfg,N,,,
480,333311,Automatic vending machine mfg,Y,2,2,Energy Star certified vending machines
481,333312,Commercial laundry and drycleaning machinery,Y,2,2,Energy Star certified laundry machines
482,333313,Office machinery manufacturing,N,,,
483,333314,Optical instrument and lens mfg,N,,,
484,333315,Photographic and photocopying equipment mfg.,Y,2,2,Energy Star certified copying equipment
485,333319,Other commercial & service machinery mfg,Y,5,1,Water treatment equipment
486,333411,Air purification equipment mfg,Y,4,1,Air purification equipment
487,333412,Industrial and commercial fan and blower mfg.,Y,2,2,"LEED-eligible fans, Energy Star certified fans"
488,333414,"Heating equipment, except warm air furnaces",Y,2,2,Solar heating systems manufacturing
489,333415,"AC, refrigeration, and forced air heating",Y,2,2,Energy Star certified AC units; heat pumps
490,333511,Industrial mold manufacturing,Y,1,3,Molds for wind turbines
491,333512,Metal cutting machine tool manufacturing,N,,,
492,333513,Metal forming machine tool manufacturing,N,,,
493,333514,"Special tool, die, jig, and fixture mfg.",N,,,
494,333515,Cutting tool and machine tool accessory mfg.,N,,,
495,333516,Rolling mill machinery and equipment mfg.,N,,,
496,333518,Other metalworking machinery mfg,N,,,
497,333611,Turbine and turbine generator set units mfg.,Y,1,3,Wind turbines; hydroelectric turbines
498,NAICS 2007,Title,Included,"Category ofgreeneconomicactivity(1-7)","Definitionelements(1-4)",Example of green good or service
499,333612,"Speed changer, drive, and gear manufacturing",Y,1,3,Wind turbines; hydroelectric turbines
500,333613,Mechanical power transmission equipment mfg.,Y,1,3,Wind turbines; hydroelectric turbines
501,333618,Other engine equipment manufacturing,N,,,
502,333911,Pump and pumping equipment manufacturing,N,,,
503,333912,Air and gas compressor manufacturing,N,,,
504,333913,Measuring and dispensing pump manufacturing,N,,,
505,333921,Elevator and moving stairway mfg,N,,,
506,333922,Conveyor and conveying equipment mfg.,N,,,
507,333923,"Overhead cranes, hoists, and monorail systems",N,,,
508,333924,"Industrial truck, trailer, and stacker mfg",N,,,
509,333991,Power-driven handtool manufacturing,N,,,
510,333992,Welding and soldering equipment mfg,N,,,
511,333993,Packaging machinery manufacturing,N,,,
512,333994,Industrial process furnace & oven mfg,N,,,
513,333995,Fluid power cylinder and actuator mfg.,N,,,
514,333996,Fluid power pump and motor mfg,N,,,
515,333997,Scale and balance manufacturing,N,,,
516,333999,Miscellaneous general purpose machinery mfg.,N,,,
517,334111,Electronic computer manufacturing,Y,2,2,Energy Star certified computers
518,334112,Computer storage device mfg,N,,,
519,334113,Computer terminal manufacturing,Y,2,2,Energy Star certified computers
520,334119,Other computer peripheral equipment mfg.,Y,2,2,Energy Star certified printers
521,334210,Telephone apparatus manufacturing,Y,2,2,Energy Star certified telephones
522,334220,Broadcast and wireless communications equip.,Y,2,2,Energy Star certified cable boxes
523,334290,Other communications equipment mfg,Y,2,2,Energy Star certified products
524,334310,Audio and video equipment mfg,Y,2,2,Energy Star certified products
525,334411,Electron tube manufacturing,N,,,
526,334412,Bare printed circuit board mfg,N,,,
527,334413,Semiconductors and related device mfg.,Y,2,2,Solar cells
528,334414,Electronic capacitor manufacturing,N,,,
529,334415,Electronic resistor manufacturing,N,,,
530,334416,"Electronic coils, transformers, and inductors",N,,,
531,334417,Electronic connector manufacturing,N,,,
532,334418,Printed circuit assembly manufacturing,N,,,
533,334419,Other electronic component mfg,N,,,
534,334510,Electromedical apparatus mfg,N,,,
535,334511,"Search, detection, and navigation instruments",N,,,
536,334512,Automatic environmental control mfg,Y,3,1,"Energy cutoff controls, residential and commercial types"
537,334513,Industrial process variable instruments,Y,2,1,Water quality monitoring and control systems
538,334514,Totalizing fluid meters and counting devices,Y,2,1,"Water meters, consumption registering"
539,334515,Electricity and signal testing instruments,Y,2,1,"Energy measuring equipment, electrical"
540,334516,Analytical laboratory instrument mfg.,Y,4,1,Thermal conductivity instruments and sensors
541,334517,Irradiation apparatus manufacturing,N,,,
542,334518,"Watch, clock, and part manufacturing",N,,,
543,334519,Other measuring and controlling device mfg.,Y,1,3,Wind direction indicators
544,334611,Software reproducing,N,,,
545,334612,Audio and video media reproduction,N,,,
546,334613,Magnetic & optical recording media mfg,N,,,
547,335110,Electric lamp bulb and part mfg,Y,2,2,Energy Star certified light bulbs
548,NAICS 2007,Title,Included,"Category ofgreeneconomicactivity(1-7)","Definitionelements(1-4)",Example of green good or service
549,335121,Residential electric lighting fixture mfg.,Y,2,2,Energy Star certified light fixtures
550,335122,Nonresidential electric lighting fixture mfg.,Y,2,2,Energy Star certified light fixtures
551,335129,Other lighting equipment mfg,Y,2,2,Energy Star certified light fixtures
552,335211,Electric housewares & household fan mfg,Y,2,2,Energy Star certified fans
553,335212,Household vacuum cleaner mfg,N,,,
554,335221,Household cooking appliance manufacturing,Y,2,2,Energy Star certified stoves
555,335222,Household refrigerator and home freezer mfg.,Y,2,2,Energy Star certified refrigerators
556,335224,Household laundry equipment mfg.,Y,2,2,Energy Star certified laundry machines
557,335228,Other major household appliance mfg.,Y,2,2,Energy Star certified hot water heaters
558,335311,Electric power and specialty transformer mfg.,Y,2,2,"Voltage regulating transformers, electric power"
559,335312,Motor and generator manufacturing,Y,2,2,Energy Star certified battery chargers
560,335313,Switchgear & switchboard apparatus mfg,N,,,
561,335314,Relay and industrial control mfg,N,,,
562,335911,Storage battery manufacturing,Y,2,2,Rechargeable batteries
563,335912,Primary battery manufacturing,Y,2,2,Mercury free watch batteries
564,335921,Fiber optic cable manufacturing,N,,,
565,335929,Other communication and energy wire mfg.,N,,,
566,335931,Current-carrying wiring device mfg,N,,,
567,335932,Noncurrent-carrying wiring device mfg.,N,,,
568,335991,Carbon and graphite product mfg,N,,,
569,335999,Miscellaneous electrical equipment mfg.,Y,2,2,Energy Star certified battery chargers
570,336111,Automobile manufacturing,Y,2,2,Hybrid vehicles
571,336112,Light truck and utility vehicle manufacturing,Y,2,2,Hybrid vehicles
572,336120,Heavy duty truck manufacturing,N,,,
573,336211,Motor vehicle body manufacturing,N,,,
574,336212,Truck trailer manufacturing,N,,,
575,336213,Motor home manufacturing,N,,,
576,336214,Travel trailer and camper manufacturing,N,,,
577,336311,"Carburetor, piston, ring, and valve mfg.",Y,2,3,Specialized parts for hybrid vehicles
578,336312,Gasoline engine and engine parts mfg.,Y,2,3,Specialized parts for hybrid vehicles
579,336321,Vehicular lighting equipment mfg,N,,,
580,336322,Other motor vehicle electric equipment mfg.,Y,2,3,Specialized parts for hybrid vehicles
581,336330,Motor vehicle steering and suspension parts,N,,,
582,336340,Motor vehicle brake system manufacturing,Y,2,3,Specialized parts for hybrid vehicles
583,336350,Motor vehicle power train components mfg.,Y,2,3,Specialized parts for hybrid vehicles
584,336360,Motor vehicle seating and interior trim mfg.,N,,,
585,336370,Motor vehicle metal stamping,N,,,
586,336391,Motor vehicle air-conditioning mfg,N,,,
587,336399,All other motor vehicle parts manufacturing,Y,2,3,Specialized parts for hybrid vehicles; catalytic converters
588,336411,Aircraft manufacturing,N,,,
589,336412,Aircraft engine and engine parts mfg.,N,,,
590,336413,Other aircraft parts and equipment,N,,,
591,336414,Guided missile and space vehicle mfg.,N,,,
592,336415,Space vehicle propulsion units and parts mfg.,N,,,
593,336419,Other guided missile and space vehicle parts,N,,,
594,336510,Railroad rolling stock manufacturing,Y,2,3,Railroad cars for mass transit
595,336611,Ship building and repairing,Y,2,3,Ferries for mass transit
596,336612,Boat building,N,,,
597,336991,"Motorcycle, bicycle, and parts manufacturing",N,,,
598,NAICS 2007,Title,Included,"Category ofgreeneconomicactivity(1-7)","Definitionelements(1-4)",Example of green good or service
599,336992,Military armored vehicles and tank parts mfg.,N,,,
600,336999,All other transportation equipment mfg.,N,,,
601,337110,Wood kitchen cabinet and countertop mfg.,N,,,
602,337121,Upholstered household furniture mfg,N,,,
603,337122,Nonupholstered wood household furniture mfg.,N,,,
604,337124,Metal household furniture mfg,N,,,
605,337125,"Household furniture, exc. wood or metal, mfg.",N,,,
606,337127,Institutional furniture manufacturing,N,,,
607,337129,"Wood TV, radio, and sewing machine housings",N,,,
608,337211,Wood office furniture manufacturing,N,,,
609,337212,Custom architectural woodwork and millwork,N,,,
610,337214,"Office furniture, except wood, mfg",N,,,
611,337215,"Showcases, partitions, shelving, and lockers",N,,,
612,337910,Mattress manufacturing,N,,,
613,337920,Blind and shade manufacturing,Y,2,2,LEED-eligible window coverings
614,339112,Surgical and medical instrument mfg,N,,,
615,339113,Surgical appliance and supplies mfg,N,,,
616,339114,Dental equipment and supplies mfg,N,,,
617,339115,Ophthalmic goods manufacturing,N,,,
618,339116,Dental laboratories,N,,,
619,339911,"Jewelry, except costume, manufacturing",N,,,
620,339912,Silverware and hollowware mfg,N,,,
621,339913,Jewelers' material & lapidary work mfg,N,,,
622,339914,Costume jewelry and novelty mfg,N,,,
623,339920,Sporting and athletic goods mfg,N,,,
624,339931,Doll and stuffed toy manufacturing,N,,,
625,339932,"Game, toy, and children's vehicle mfg.",N,,,
626,339941,Pen and mechanical pencil mfg,N,,,
627,339942,Lead pencil and art good mfg,N,,,
628,339943,Marking device manufacturing,N,,,
629,339944,Carbon paper and inked ribbon mfg,N,,,
630,339950,Sign manufacturing,N,,,
631,339991,"Gasket, packing, & sealing device mfg",N,,,
632,339992,Musical instrument manufacturing,N,,,
633,339993,"Fastener, button, needle, and pin mfg.",N,,,
634,339994,"Broom, brush, and mop manufacturing",N,,,
635,339995,Burial casket manufacturing,N,,,
636,339999,All other miscellaneous manufacturing,N,,,
637,423110,Motor vehicle merchant wholesalers,Y,2,4,Hybrid vehicles
638,423120,New motor vehicle parts merchant wholesalers,Y,2,4,Hybrid car batteries
639,423130,Tire and tube merchant wholesalers,Y,5,4,Re-tread tires
640,423140,Used motor vehicle parts merchant wholesalers,Y,2,4,Used parts unique to hybrids or electric cars
641,423210,Furniture merchant wholesalers,N,,,
642,423220,Home furnishing merchant wholesalers,N,,,
643,423310,Lumber and wood merchant wholesalers,Y,6,4,LEED-eligible lumber products
644,423320,Masonry material merchant wholesalers,Y,2,4,LEED-eligible masonry products
645,423330,Roofing and siding merchant wholesalers,Y,2,4,Energy Star certified roofing materials
646,423390,Other const. material merchant wholesalers,Y,2,4,LEED-eligible building products
647,423410,Photographic equip. merchant wholesalers,N,,,
648,NAICS 2007,Title,Included,"Category ofgreeneconomicactivity(1-7)","Definitionelements(1-4)",Example of green good or service
649,423420,Office equipment merchant wholesalers,Y,2,4,Energy Star certified copy machines
650,423430,Computer and software merchant wholesalers,Y,2,4,Energy Star certified computers
651,423440,Other commercial equip. merchant wholesalers,Y,2,4,Energy Star certified commercial ovens
652,423450,Medical equipment merchant wholesalers,N,,,
653,423460,Ophthalmic goods merchant wholesalers,N,,,
654,423490,Other professional equip. merchant wholesaler,Y,2,4,Professional or scientific instruments used for pollution control or energy efficiency
655,423510,Metal merchant wholesalers,Y,5,4,Recycled metals
656,423520,Coal and other mineral merchant wholesalers,N,,,
657,423610,Elec. equip. and wiring merchant wholesalers,Y,2,4,Mercury-free batteries
658,423620,Electric appliance merchant wholesalers,Y,2,4,Energy Star certified appliances
659,423690,Other electronic parts merchant wholesalers,Y,2,4,Solar cells
660,423710,Hardware merchant wholesalers,N,,,
661,423720,Plumbing equip. merchant wholesalers,Y,2,4,EPA WaterSense products
662,423730,HVAC equip. merchant wholesalers,Y,2,4,Energy Star certified HVAC equipment
663,423740,Refrigeration equip. merchant wholesalers,Y,2,4,Energy Star certified refrigeration equipment
664,423810,Construction equipment merchant wholesalers,N,,,
665,423820,Farm and garden equip. merchant wholesalers,Y,2,4,Electric lawn mowers
666,423830,Industrial machinery merchant wholesalers,Y,1,4,Turbines designed for wind energy production
667,423840,Industrial supplies merchant wholesalers,Y,4,4,Soy-based inks
668,423850,Service estab. equip. merchant wholesalers,Y,2,4,Energy Star certified commercial laundry machines
669,423860,Other transport. goods merchant wholesalers,Y,2,4,Subway cars for use in mass transit
670,423910,Sporting goods merchant wholesalers,N,,,
671,423920,Toy and hobby goods merchant wholesalers,N,,,
672,423930,Recyclable material merchant wholesalers,Y,5,4,Recycled materials
673,423940,Jewelry merchant wholesalers,N,,,
674,423990,All other durable goods merchant wholesalers,N,,,
675,424110,Printing and writing paper merch. whls.,Y,5,4,Recycled newsprint
676,424120,Office supplies merchant wholesalers,N,,,
677,424130,Industrial paper merchant wholesalers,Y,5,4,Recycled paperboard
678,424210,Druggists' goods merchant wholesalers,Y,6,4,USDA certified organic cosmetics
679,424310,Piece goods merchant wholesalers,Y,6,4,USDA certified organic yarn
680,424320,Men's and boys' clothing merchant wholesalers,N,,,
681,424330,Women's and children's clothing merch. whls.,N,,,
682,424340,Footwear merchant wholesalers,N,,,
683,424410,General line grocery merchant wholesalers,Y,6,4,USDA certified organic grocery items
684,424420,Packaged frozen food merchant wholesalers,Y,6,4,USDA certified organic frozen food items
685,424430,Dairy product merchant wholesalers,Y,6,4,USDA certified organic milk
686,424440,Poultry product merchant wholesalers,Y,6,4,USDA certified organic poultry
687,424450,Confectionery merchant wholesalers,Y,6,4,Candy made from USDA certified organic products
688,424460,Fish and seafood merchant wholesalers,Y,6,4,USDA certified organic fish
689,424470,Meat and meat product merchant wholesalers,Y,6,4,USDA certified organic meat
690,424480,Fruit and vegetable merchant wholesalers,Y,6,4,USDA certified organic fruit
691,424490,Other grocery product merchant wholesalers,Y,6,4,USDA certified organic baby food
692,424510,Grain and field bean merchant wholesalers,Y,6,4,USDA certified organic grains
693,424520,Livestock merchant wholesalers,Y,6,4,USDA certified organic livestock
694,424590,Other farm product raw material merch. whls.,Y,6,4,USDA certified organic tobacco
695,424610,Plastics materials merchant wholesalers,Y,5,4,Plastics from recycled materials
696,424690,Other chemicals merchant wholesalers,Y,6,4,Biodegradable laundry soaps
697,NAICS 2007,Title,Included,"Category ofgreeneconomicactivity(1-7)","Definitionelements(1-4)",Example of green good or service
698,424710,Petroleum bulk stations and terminals,Y,3,4,"Blends that exceed ethanol content approved for use in any make or model of vehicle sold in the U.S.(currently E10)"
699,424720,Other petroleum merchant wholesalers,Y,3,4,"Blends that exceed ethanol content approved for use in any make or model of vehicle sold in the U.S.(currently E10)"
700,424810,Beer and ale merchant wholesalers,Y,6,4,USDA certified organic beer
701,424820,Wine and spirit merchant wholesalers,Y,6,4,USDA certified organic wine
702,424910,Farm supplies merchant wholesalers,Y,6,4,Fertilizers on USDA organic approved list of fertilizers
703,424920,Book and periodical merchant wholesalers,Y,7,4,Environmental-related media
704,424930,Nursery and florist merchant wholesalers,Y,6,4,Organic plants and soil products
705,424940,Tobacco and tobacco product merch. whls.,Y,6,4,USDA certified organic tobacco
706,424950,Paint and supplies merchant wholesalers,Y,4,4,"LEED-eligible paint, low VOC paints"
707,424990,Other nondurable goods merchant wholesalers,Y,6,4,USDA certified organic pet products
708,425110,Business to business electronic markets,N,,,
709,425120,Wholesale trade agents and brokers,N,,,
710,441110,New car dealers,Y,2,4,Hybrid cars
711,441120,Used car dealers,Y,2,4,Used hybrid cars
712,441210,Recreational vehicle dealers,N,,,
713,441221,"Motorcycle, ATV, personal watercraft dealers",N,,,
714,441222,Boat dealers,N,,,
715,441229,All other motor vehicle dealers,N,,,
716,441310,Automotive parts and accessories stores,Y,2,4,Automotive parts related to operation of hybrid cars
717,441320,Tire dealers,Y,5,4,Retread tires
718,442110,Furniture stores,N,,,
719,442210,Floor covering stores,Y,2,4,"USDA certified organic wool carpet, LEED-eligible carpets"
720,442291,Window treatment stores,Y,2,4,LEED-eligible window treatments
721,442299,All other home furnishings stores,N,,,
722,443111,Household appliance stores,Y,2,4,Energy Star certified refrigerators
723,443112,"Radio, TV, and other electronics stores",Y,2,4,Energy Star certified TVs
724,443120,Computer and software stores,Y,2,4,Energy Star certified computers
725,443130,Camera and photographic supplies stores,N,,,
726,444110,Home centers,Y,2,4,"Energy Star certified, USDA certified organic, LEED-eligible products"
727,444120,Paint and wallpaper stores,Y,4,4,LEED-eligible paints
728,444130,Hardware stores,Y,2,4,"Energy Star certified, USDA certified organic, LEED-eligible products"
729,444190,Other building material dealers,Y,2,4,"Energy Star certified, USDA certified organic, LEED-eligible products"
730,444210,Outdoor power equipment stores,Y,2,4,"Energy Star certified, USDA certified organic, LEED-eligible products"
731,444220,"Nursery, garden, and farm supply stores",Y,6,4,"Energy Star certified, USDA certified organic, LEED-eligible products"
732,445110,Supermarkets and other grocery stores,Y,6,4,USDA certified organic products
733,445120,Convenience stores,Y,6,4,USDA certified organic products
734,445210,Meat markets,Y,6,4,USDA certified organic products
735,445220,Fish and seafood markets,Y,6,4,USDA certified organic products
736,445230,Fruit and vegetable markets,Y,6,4,USDA certified organic products
737,445291,Baked goods stores,Y,6,4,USDA certified organic products
738,445292,Confectionery and nut stores,Y,6,4,USDA certified organic products
739,445299,All other specialty food stores,Y,6,4,USDA certified organic products
740,445310,"Beer, wine, and liquor stores",Y,6,4,USDA certified organic products
741,446110,Pharmacies and drug stores,Y,6,4,USDA certified organic products
742,446120,Cosmetic and beauty supply stores,Y,6,4,USDA certified organic products
743,446130,Optical goods stores,N,,,
744,446191,"Food, health, supplement stores",Y,6,4,USDA certified organic fruit
745,NAICS 2007,Title,Included,"Category ofgreeneconomicactivity(1-7)","Definitionelements(1-4)",Example of green good or service
746,446199,All other health and personal care stores,Y,6,4,USDA certified organic products
747,447110,Gasoline stations with convenience stores,Y,3,4,"Biodiesel, ethanol, USDA certified organic products"
748,447190,Other gasoline stations,Y,3,4,"Biodiesel, ethanol"
749,448110,Men's clothing stores,N,,,
750,448120,Women's clothing stores,N,,,
751,448130,Children's and infants' clothing stores,N,,,
752,448140,Family clothing stores,N,,,
753,448150,Clothing accessories stores,N,,,
754,448190,Other clothing stores,N,,,
755,448210,Shoe stores,N,,,
756,448310,Jewelry stores,N,,,
757,448320,Luggage and leather goods stores,N,,,
