,"LEGEND:Categories of green economic activity:Definition Elements:Y: Included1. Renewable energy5. Recycling and waste reduction1. Direct green good or serviceN: Excluded2. Energy efficiency6. Agricultural and natural resources conservation2. Indirect green good or service3. Greenhouse gas reduction7. Education, compliance, public awareness, and training3. Specialized input to elements 1 or 24. Pollution reduction and cleanup4. Distribution of green goods",Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
758,451110,Sporting goods stores,N,,,
759,451120,"Hobby, toy, and game stores",N,,,
760,451130,"Sewing, needlework, and piece goods stores",Y,6,4,USDA certified organic products
761,451140,Musical instrument and supplies stores,N,,,
762,451211,Book stores,Y,7,4,Environmental books
763,451212,News dealers and newsstands,Y,7,4,Environmental trade publication
764,451220,"Pre-recorded tape, CD, and record stores",Y,7,4,Environmental films
765,452111,"Department stores, except discount",Y,6,4,"Energy Star certified, USDA certified organic, LEED-eligible products"
766,452112,Discount department stores,Y,6,4,"Energy Star certified, USDA certified organic, LEED-eligible products"
767,452910,Warehouse clubs and supercenters,Y,6,4,"Energy Star certified, USDA certified organic, LEED-eligible products"
768,452990,All other general merchandise stores,Y,6,4,"Energy Star certified, USDA certified organic, LEED-eligible products"
769,453110,Florists,Y,6,4,USDA certified organic products
770,453210,Office supplies and stationery stores,N,,,
771,453220,"Gift, novelty, and souvenir stores",N,,,
772,453310,Used merchandise stores,Y,5,4,Used Energy Star certified goods
773,453910,Pet and pet supplies stores,Y,6,4,USDA certified organic products
774,453920,Art dealers,N,,,
775,453930,"Manufactured, mobile, home dealers",Y,2,4,Energy Star certified mobile homes
776,453991,Tobacco stores,Y,6,4,USDA certified organic products
777,453998,Store retailers not specified elsewhere,Y,6,4,USDA certified organic products
778,454111,Electronic shopping,Y,6,4,USDA certified organic products
779,454112,Electronic auctions,Y,6,4,USDA certified organic products
780,454113,Mail-order houses,Y,6,4,USDA certified organic products
781,454210,Vending machine operators,Y,6,4,USDA certified organic products
782,454311,Heating oil dealers,N,,,
783,454312,"Liquefied petroleum gas, bottled gas, dealers",N,,,
784,454319,Other fuel dealers,Y,3,4,"Biodiesel, ethanol"
785,454390,Other direct selling establishments,Y,6,4,USDA certified organic products
786,481111,Scheduled passenger air transportation,N,,,
787,481112,Scheduled freight air transportation,N,,,
788,481211,Nonscheduled air passenger chartering,N,,,
789,481212,Nonscheduled air freight chartering,N,,,
790,481219,Other nonscheduled air transportation,N,,,
791,482111,Line-haul railroads,Y,1,4,"Specialized transportation for wind turbine blades, towers"
792,482112,Short line railroads,N,,,
793,483111,Deep sea freight transportation,N,,,
794,483112,Deep sea passenger transportation,N,,,
795,NAICS 2007,Title,Included,"Category ofgreeneconomicactivity(1-7)","Definitionelements(1-4)",Example of green good or service
796,483113,Coastal and Great Lakes freight transport.,N,,,
797,483114,Coastal and Great Lakes passenger transport.,Y,2,1,Great Lakes or coastal ferry commuter services
798,483211,Inland water freight transportation,N,,,
799,483212,Inland water passenger transportation,Y,2,1,Inland ferry commuter services
800,484110,"General freight trucking, local",Y,3,4,Use of flex fuels or biofuels
801,484121,"General freight trucking, long-distance TL",Y,3,4,"Specialized transportation for wind turbine blades, towers"
802,484122,"General freight trucking, long-distance LTL",Y,3,4,Use of flex fuels or biofuels
803,484210,Used household and office goods moving,Y,3,4,Use of flex fuels or biofuels
804,484220,"Other specialized trucking, local",Y,3,4,Use of flex fuels or biofuels
805,484230,"Other specialized trucking, long-distance",Y,1,4,"Specialized transportation for wind turbine blades, towers"
806,485111,Mixed mode transit systems,Y,2,1,Mass transit systems
807,485112,Commuter rail systems,Y,2,1,Mass transit systems
808,485113,Bus and other motor vehicle transit systems,Y,2,1,Mass transit systems
809,485119,Other urban transit systems,Y,2,1,Mass transit systems
810,485210,Interurban and rural bus transportation,Y,2,1,Commuter-based bus services
811,485310,Taxi service,Y,3,2,Use of flex fuels or biofuels
812,485320,Limousine service,Y,3,2,Use of flex fuels or biofuels
813,485410,School and employee bus transportation,Y,2,1,School bus transportation
814,485510,Charter bus industry,Y,3,2,Use of flex fuels or biofuels
815,485991,Special needs transportation,Y,2,1,Commuter-based transportation
816,485999,All other ground passenger transportation,Y,2,1,Vanpools
817,486110,Pipeline transportation of crude oil,N,,,
818,486210,Pipeline transportation of natural gas,N,,,
819,486910,Refined petroleum product pipeline transport.,N,,,
820,486990,All other pipeline transportation,N,,,
821,487110,"Scenic and sightseeing transportation, land",Y,3,2,Use of flex fuels or biofuels
822,487210,"Scenic and sightseeing transportation, water",Y,3,2,Use of flex fuels or biofuels
823,487990,"Scenic and sightseeing transportation, other",N,,,
824,488111,Air traffic control,N,,,
825,488119,Other airport operations,N,,,
826,488190,Other support activities for air transport.,N,,,
827,488210,Support activities for rail transportation,N,,,
828,488310,Port and harbor operations,N,,,
829,488320,Marine cargo handling,N,,,
830,488330,Navigational services to shipping,N,,,
831,488390,Other support activities for water transport.,N,,,
832,488410,Motor vehicle towing,Y,3,2,Use of flex fuels or biofuels
833,488490,Other support activities for road transport.,N,,,
834,488510,Freight transportation arrangement,Y,1,4,"Specialize in arranging freight transportation for wind turbine blades, towers"
835,488991,Packing and crating,N,,,
836,488999,All other support activities for transport.,N,,,
837,491110,Postal service,Y,3,2,Use of flex fuels or biofuels
838,492110,Couriers and express delivery services,Y,3,2,Use of flex fuels or biofuels
839,492210,Local messengers and local delivery,Y,3,2,Use of flex fuels or biofuels
840,493110,General warehousing and storage,Y,2,4,Specialized warehousing of green goods
841,493120,Refrigerated warehousing and storage,Y,2,4,Specialized warehousing of green goods
842,493130,Farm product warehousing and storage,Y,2,4,Specialized warehousing of green goods
843,493190,Other warehousing and storage,Y,2,4,Specialized warehousing of green goods
844,511110,Newspaper publishers,Y,7,1,Environmental or trade/association newspapers
845,NAICS 2007,Title,Included,"Category ofgreeneconomicactivity(1-7)","Definitionelements(1-4)",Example of green good or service
846,511120,Periodical publishers,Y,7,1,"Environmental, training or association periodicals"
847,511130,Book publishers,Y,7,1,Environmental or training books/manuals
848,511140,Directory and mailing list publishers,Y,7,1,Industry association directories or mailing lists
849,511191,Greeting card publishers,N,,,
850,511199,All other publishers,Y,7,1,"Environmental or association calendars, etc"
851,511210,Software publishers,Y,2,1,"Training software, software used to reduce or monitor energy usage, pollution"
852,512110,Motion picture and video production,Y,7,1,"Environmental content, training movies or videos"
853,512120,Motion picture and video distribution,Y,7,4,"Distribution of environmental, training content"
854,512131,"Motion picture theaters, except drive-ins",N,,,
855,512132,Drive-in motion picture theaters,N,,,
856,512191,Teleproduction and postproduction services,N,,,
857,512199,Other motion picture and video industries,N,,,
858,512210,Record production,N,,,
859,512220,Integrated record production and distribution,N,,,
860,512230,Music publishers,N,,,
861,512240,Sound recording studios,N,,,
862,512290,Other sound recording industries,N,,,
863,515111,Radio networks,Y,7,1,Produce content for environmental radio networks
864,515112,Radio stations,Y,7,1,Produce content for environmental radio stations
865,515120,Television broadcasting,Y,7,1,Produce content for environmental TV stations
866,515210,Cable and other subscription programming,Y,7,1,Produce content for environmental TV stations
867,517110,Wired telecommunications carriers,N,,,
868,517210,Wireless telecommunications carriers,N,,,
869,517410,Satellite telecommunications,N,,,
870,517911,Telecommunications resellers,N,,,
871,517919,All other telecommunications,N,,,
872,518210,"Data processing, hosting and related services",N,,,
873,519110,News syndicates,Y,7,1,Environmental news media
874,519120,Libraries and archives,Y,7,1,"Libraries specializing in environment, training, compliance"
875,519130,Internet publishing and web search portals,Y,7,1,"Environmental, training, compliance websites"
876,519190,All other information services,N,,,
877,521110,Monetary authorities - central bank,N,,,
878,522110,Commercial banking,N,,,
879,522120,Savings institutions,N,,,
880,522130,Credit unions,N,,,
881,522190,Other depository credit intermediation,N,,,
882,522210,Credit card issuing,N,,,
883,522220,Sales financing,N,,,
884,522291,Consumer lending,N,,,
885,522292,Real estate credit,N,,,
886,522293,International trade financing,N,,,
887,522294,Secondary market financing,N,,,
888,522298,All other nondepository credit intermediation,N,,,
889,522310,Mortgage and nonmortgage loan brokers,N,,,
890,522320,Financial transaction processing and clearing,N,,,
891,522390,Other credit intermediation activities,N,,,
892,523110,Investment banking and securities dealing,N,,,
893,523120,Securities brokerage,N,,,
894,523130,Commodity contracts dealing,Y,3,1,Cap and trade for emissions
895,NAICS 2007,Title,Included,"Category ofgreeneconomicactivity(1-7)","Definitionelements(1-4)",Example of green good or service
896,523140,Commodity contracts brokerage,Y,3,1,Cap and trade for emissions
897,523210,Securities and commodity exchanges,Y,3,1,Cap and trade for emissions
898,523910,Miscellaneous intermediation,N,,,
899,523920,Portfolio management,N,,,
900,523930,Investment advice,N,,,
901,523991,"Trust, fiduciary, and custody activities",N,,,
902,523999,Miscellaneous financial investment activities,N,,,
903,524113,Direct life insurance carriers,N,,,
904,524114,Direct health and medical insurance carriers,N,,,
905,524126,Direct property and casualty insurers,N,,,
906,524127,Direct title insurance carriers,N,,,
907,524128,Other direct insurance carriers,N,,,
908,524130,Reinsurance carriers,N,,,
909,524210,Insurance agencies and brokerages,N,,,
910,524291,Claims adjusting,N,,,
911,524292,Third party administration of insurance funds,N,,,
912,524298,All other insurance related activities,N,,,
913,525110,Pension funds,N,,,
914,525120,Health and welfare funds,N,,,
915,525190,Other insurance funds,N,,,
916,525910,Open-end investment funds,N,,,
917,525920,"Trusts, estates, and agency accounts",N,,,
918,525990,Other financial vehicles,N,,,
919,531110,Lessors of residential buildings,N,,,
920,531120,Lessors of nonresidential buildings,N,,,
921,531130,Miniwarehouse and self-storage unit operators,N,,,
922,531190,Lessors of other real estate property,N,,,
923,531210,Offices of real estate agents and brokers,N,,,
924,531311,Residential property managers,N,,,
925,531312,Nonresidential property managers,N,,,
926,531320,Offices of real estate appraisers,N,,,
927,531390,Other activities related to real estate,N,,,
928,532111,Passenger car rental,Y,2,4,Rental of hybrid cars
929,532112,Passenger car leasing,Y,2,4,Leasing of hybrid cars
930,532120,"Truck, trailer, and RV rental and leasing",N,,,
931,532210,Consumer electronics and appliances rental,Y,2,4,Rental of Energy Star certified electronics/appliances
932,532220,Formal wear and costume rental,N,,,
933,532230,Video tape and disc rental,N,,,
934,532291,Home health equipment rental,N,,,
935,532292,Recreational goods rental,N,,,
936,532299,All other consumer goods rental,N,,,
937,532310,General rental centers,N,,,
938,532411,Transportation equipment rental and leasing,Y,2,4,"Rental of equipment for transportation of specialized green goods, mass transit"
939,532412,Other heavy machinery rental and leasing,N,,,
940,532420,Office equipment rental and leasing,N,,,
941,532490,Other machinery rental and leasing,N,,,
942,533110,Lessors of nonfinancial intangible assets,N,,,
943,541110,Offices of lawyers,Y,7,1,"Environmental law, compliance"
944,541191,Title abstract and settlement offices,N,,,
945,NAICS 2007,Title,Included,"Category ofgreeneconomicactivity(1-7)","Definitionelements(1-4)",Example of green good or service
946,541199,All other legal services,N,,,
947,541211,Offices of certified public accountants,N,,,
948,541213,Tax preparation services,N,,,
949,541214,Payroll services,N,,,
950,541219,Other accounting services,N,,,
951,541310,Architectural services,Y,2,3,"LEED-specific architecture, energy efficient architecture"
952,541320,Landscape architectural services,Y,2,3,"Energy efficient landscaping, LEED acceptable landscaping"
953,541330,Engineering services,Y,2,3,"Engineering for renewable energy projects, LEED projects, energy efficient projects"
954,541340,Drafting services,N,,,
955,541350,Building inspection services,Y,7,3,"Compliance with regulations, to meet environmental standards (LEED)"
956,541360,Geophysical surveying and mapping services,Y,1,3,Geophysical surveying for geothermal resources
957,541370,Other surveying and mapping services,Y,1,3,Land surveying for LEED projects
958,541380,Testing laboratories,Y,7,3,Environmental testing services
959,541410,Interior design services,Y,2,3,"Interior energy efficient, resource efficient design"
960,541420,Industrial design services,Y,2,3,"Industrial energy efficient, resource efficient design"
961,541430,Graphic design services,Y,7,3,Graphic design for environmental awareness
962,541490,Other specialized design services,N,,,
963,541511,Custom computer programming services,Y,2,3,"Computer systems to regulate emissions, energy usage"
964,541512,Computer systems design services,Y,2,3,"Computer systems to regulate emissions, energy usage"
965,541513,Computer facilities management services,N,,,
966,541519,Other computer related services,N,,,
967,541611,Administrative management consulting services,N,,,
968,541612,Human resources consulting services,N,,,
969,541613,Marketing consulting services,N,,,
970,541614,Process and logistics consulting services,Y,2,3,"Freight consulting, logistics consulting, efficiency consulting"
971,541618,Other management consulting services,N,,,
972,541620,Environmental consulting services,Y,1,3,Environmental consulting
973,541690,Other technical consulting services,Y,1,3,"Agriculture, energy consulting"
974,541711,Research and development in biotechnology,Y,1,1,"Research on biofuels, organisms used to reduce pollution"
975,541712,Other physical and biological research,Y,1,1,Environmental research and development laboratories or services
976,541720,Social science and humanities research,N,,,
977,541810,Advertising agencies,Y,7,4,Environmental advertising for public awareness
978,541820,Public relations agencies,Y,7,4,Environmental public relations for awareness
979,541830,Media buying agencies,N,,,
980,541840,Media representatives,N,,,
981,541850,Display advertising,N,,,
982,541860,Direct mail advertising,N,,,
983,541870,Advertising material distribution services,N,,,
984,541890,Other services related to advertising,N,,,
985,541910,Marketing research and public opinion polling,N,,,
986,541921,"Photography studios, portrait",N,,,
987,541922,Commercial photography,Y,7,4,Environmental photography
988,541930,Translation and interpretation services,N,,,
989,541940,Veterinary services,N,,,
990,541990,All other professional & technical services,N,,,
991,551111,Offices of bank holding companies,N,,,
992,551112,Offices of other holding companies,N,,,
993,551114,Managing offices,Y,7,3,Headquarters for environment-related companies
994,561110,Office administrative services,N,,,
995,NAICS 2007,Title,Included,"Category ofgreeneconomicactivity(1-7)","Definitionelements(1-4)",Example of green good or service
996,561210,Facilities support services,N,,,
997,561311,Employment placement agencies,N,,,
998,561312,Executive search services,N,,,
999,561320,Temporary help services,N,,,
1000,561330,Professional employer organizations,N,,,
1001,561410,Document preparation services,N,,,
1002,561421,Telephone answering services,N,,,
1003,561422,Telemarketing and other contact centers,N,,,
1004,561431,Private mail centers,N,,,
1005,561439,Other business service centers,N,,,
1006,561440,Collection agencies,N,,,
1007,561450,Credit bureaus,N,,,
1008,561491,Repossession services,N,,,
1009,561492,Court reporting and stenotype services,N,,,
1010,561499,All other business support services,N,,,
1011,561510,Travel agencies,N,,,
1012,561520,Tour operators,Y,7,1,Environmental/eco-tourism
1013,561591,Convention and visitors bureaus,N,,,
1014,561599,All other travel arrangement services,N,,,
1015,561611,Investigation services,N,,,
1016,561612,Security guards and patrol services,N,,,
1017,561613,Armored car services,N,,,
1018,561621,"Security systems services, except locksmiths",N,,,
1019,561622,Locksmiths,N,,,
1020,561710,Exterminating and pest control services,N,,,
1021,561720,Janitorial services,N,,,
1022,561730,Landscaping services,Y,2,3,Energy efficient landscaping
1023,561740,Carpet and upholstery cleaning services,N,,,
1024,561790,Other services to buildings and dwellings,N,,,
1025,561910,Packaging and labeling services,N,,,
1026,561920,Convention and trade show organizers,N,,,
1027,561990,All other support services,N,,,
1028,562111,Solid waste collection,Y,5,1,Waste management
1029,562112,Hazardous waste collection,Y,4,1,Waste management
1030,562119,Other waste collection,Y,5,1,Waste management
1031,562211,Hazardous waste treatment and disposal,Y,4,1,Waste management
1032,562212,Solid waste landfill,Y,5,1,Waste management
1033,562213,Solid waste combustors and incinerators,Y,5,1,Waste management
1034,562219,Other nonhazardous waste disposal,Y,5,1,Waste management
1035,562910,Remediation services,Y,4,1,Waste management
1036,562920,Materials recovery facilities,Y,4,1,Waste management
1037,562991,Septic tank and related services,Y,4,1,Waste management
1038,562998,Miscellaneous waste management services,Y,5,1,Waste management
1039,611110,Elementary and secondary schools,N,,,
1040,611210,Junior colleges,Y,7,1,Training/curriculum for green jobs
1041,611310,Colleges and universities,Y,7,1,Training/curriculum for green jobs
1042,611410,Business and secretarial schools,N,,,
1043,611420,Computer training,N,,,
1044,611430,Management training,Y,7,1,Training/curriculum for green jobs
1045,NAICS 2007,Title,Included,"Category ofgreeneconomicactivity(1-7)","Definitionelements(1-4)",Example of green good or service
1046,611511,Cosmetology and barber schools,N,,,
1047,611512,Flight training,N,,,
1048,611513,Apprenticeship training,Y,7,1,Training/curriculum for green jobs
1049,611519,Other technical and trade schools,Y,7,1,Training/curriculum for green jobs
1050,611610,Fine arts schools,N,,,
1051,611620,Sports and recreation instruction,N,,,
1052,611630,Language schools,N,,,
1053,611691,Exam preparation and tutoring,N,,,
1054,611692,Automobile driving schools,N,,,
1055,611699,Miscellaneous schools and instruction,N,,,
1056,611710,Educational support services,N,,,
1057,621111,"Offices of physicians, except mental health",N,,,
1058,621112,Offices of mental health physicians,N,,,
1059,621210,Offices of dentists,N,,,
1060,621310,Offices of chiropractors,N,,,
1061,621320,Offices of optometrists,N,,,
1062,621330,Offices of mental health practitioners,N,,,
1063,621340,Offices of specialty therapists,N,,,
1064,621391,Offices of podiatrists,N,,,
1065,621399,Offices of miscellaneous health practitioners,N,,,
1066,621410,Family planning centers,N,,,
1067,621420,Outpatient mental health centers,N,,,
1068,621491,HMO medical centers,N,,,
1069,621492,Kidney dialysis centers,N,,,
1070,621493,Freestanding emergency medical centers,N,,,
1071,621498,All other outpatient care centers,N,,,
1072,621511,Medical laboratories,N,,,
1073,621512,Diagnostic imaging centers,N,,,
1074,621610,Home health care services,N,,,
1075,621910,Ambulance services,N,,,
1076,621991,Blood and organ banks,N,,,
1077,621999,Miscellaneous ambulatory health care services,N,,,
1078,622110,General medical and surgical hospitals,N,,,
1079,622210,Psychiatric and substance abuse hospitals,N,,,
1080,622310,Other hospitals,N,,,
1081,623110,Nursing care facilities,N,,,
1082,623210,Residential mental retardation facilities,N,,,
1083,623220,Residential mental and substance abuse care,N,,,
1084,623311,Continuing care retirement communities,N,,,
1085,623312,Homes for the elderly,N,,,
1086,623990,Other residential care facilities,N,,,
1087,624110,Child and youth services,N,,,
1088,624120,Services for the elderly and disabled,N,,,
1089,624190,Other individual and family services,N,,,
1090,624210,Community food services,N,,,
1091,624221,Temporary shelters,N,,,
1092,624229,Other community housing services,N,,,
1093,624230,Emergency and other relief services,N,,,
1094,624310,Vocational rehabilitation services,N,,,
1095,NAICS 2007,Title,Included,"Category ofgreeneconomicactivity(1-7)","Definitionelements(1-4)",Example of green good or service
1096,624410,Child day care services,N,,,
1097,711110,Theater companies and dinner theaters,N,,,
1098,711120,Dance companies,N,,,
1099,711130,Musical groups and artists,N,,,
1100,711190,Other performing arts companies,N,,,
1101,711211,Sports teams and clubs,N,,,
1102,711212,Racetracks,N,,,
1103,711219,Other spectator sports,N,,,
1104,711310,Promoters with facilities,N,,,
1105,711320,Promoters without facilities,N,,,
1106,711410,Agents and managers for public figures,N,,,
1107,711510,"Independent artists, writers, and performers",N,,,
1108,712110,Museums,Y,7,1,Environment and science museums
1109,712120,Historical sites,N,,,
1110,712130,Zoos and botanical gardens,Y,6,1,Botanical gardens
1111,712190,Nature parks and other similar institutions,Y,6,1,Nature preserves
1112,713110,Amusement and theme parks,N,,,
1113,713120,Amusement arcades,N,,,
1114,713210,"Casinos, except casino hotels",N,,,
1115,713290,Other gambling industries,N,,,
1116,713910,Golf courses and country clubs,N,,,
1117,713920,Skiing facilities,N,,,
1118,713930,Marinas,N,,,
1119,713940,Fitness and recreational sports centers,N,,,
1120,713950,Bowling centers,N,,,
1121,713990,All other amusement and recreation industries,N,,,
1122,721110,"Hotels and motels, except casino hotels",N,,,
1123,721120,Casino hotels,N,,,
1124,721191,Bed-and-breakfast inns,N,,,
1125,721199,All other traveler accommodation,N,,,
1126,721211,RV parks and campgrounds,N,,,
1127,721214,Recreational and vacation camps,N,,,
1128,721310,Rooming and boarding houses,N,,,
1129,722110,Full-service restaurants,Y,6,4,Serving USDA certified organic food
1130,722211,Limited-service restaurants,Y,6,4,Serving USDA certified organic food
1131,722212,"Cafeterias, grill buffets, and buffets",Y,6,4,Serving USDA certified organic food
1132,722213,Snack and nonalcoholic beverage bars,Y,6,4,Serving USDA certified organic food
1133,722310,Food service contractors,Y,6,4,Serving USDA certified organic food
1134,722320,Caterers,Y,6,4,Serving USDA certified organic food
1135,722330,Mobile food services,Y,6,4,Serving USDA certified organic food
1136,722410,"Drinking places, alcoholic beverages",Y,6,4,Serving USDA certified organic food
1137,811111,General automotive repair,Y,2,3,Repair of parts for hybrid cars
1138,811112,Automotive exhaust system repair,Y,2,3,Repair of parts for hybrid cars
1139,811113,Automotive transmission repair,Y,2,3,Repair of parts for hybrid cars
1140,811118,Other automotive mechanical and elec. repair,Y,2,3,Repair of parts for hybrid cars
1141,811121,Automotive body and interior repair,N,,,
1142,811122,Automotive glass replacement shops,N,,,
1143,811191,Automotive oil change and lubrication shops,N,,,
1144,811192,Car washes,N,,,
1145,NAICS 2007,Title,Included,"Category ofgreeneconomicactivity(1-7)","Definitionelements(1-4)",Example of green good or service
1146,811198,All other automotive repair and maintenance,N,,,
1147,811211,Consumer electronics repair and maintenance,Y,2,3,Repair of Energy Star certified electronics
1148,811212,Computer and office machine repair,Y,2,3,Repair of Energy Star certified computers
1149,811213,Communication equipment repair,Y,2,3,Repair of Energy Star certified telephones
1150,811219,Other electronic equipment repair,Y,2,3,Repair of Energy Star certified electronics
1151,811310,Commercial machinery repair and maintenance,Y,2,3,Repair of Energy Star certified commercial equipment
1152,811411,Home and garden equipment repair,N,,,
1153,811412,Appliance repair and maintenance,Y,2,3,Repair of Energy Star certified appliances
1154,811420,Reupholstery and furniture repair,N,,,
1155,811430,Footwear and leather goods repair,N,,,
1156,811490,Other household goods repair and maintenance,N,,,
1157,812111,Barber shops,N,,,
1158,812112,Beauty salons,N,,,
1159,812113,Nail salons,N,,,
1160,812191,Diet and weight reducing centers,N,,,
1161,812199,Other personal care services,N,,,
1162,812210,Funeral homes and funeral services,N,,,
1163,812220,Cemeteries and crematories,N,,,
1164,812310,Coin-operated laundries and drycleaners,N,,,
1165,812320,Drycleaning and laundry services,Y,4,2,Certified environment-friendly drycleaning
1166,812331,Linen supply,N,,,
1167,812332,Industrial launderers,N,,,
1168,812910,"Pet care, except veterinary, services",N,,,
1169,812921,"Photofinishing laboratories, except one-hour",N,,,
1170,812922,One-hour photofinishing,N,,,
1171,812930,Parking lots and garages,N,,,
1172,812990,All other personal services,N,,,
1173,813110,Religious organizations,N,,,
1174,813211,Grantmaking foundations,Y,7,1,Environmental research/education grants
1175,813212,Voluntary health organizations,N,,,
1176,813219,Other grantmaking and giving services,Y,7,1,Environmental research/education grants
1177,813311,Human rights organizations,N,,,
1178,813312,Environment and conservation orgs,Y,7,1,Environmental organizations
1179,813319,Other social advocacy organizations,N,,,
1180,813410,Civic and social organizations,N,,,
1181,813910,Business associations,Y,7,1,Industry associations
1182,813920,Professional organizations,Y,7,1,Industry associations
1183,813930,Labor unions and similar labor orgs,N,,,
1184,813940,Political organizations,Y,7,1,Environmental political groups
1185,813990,Other similar organizations,N,,,
1186,814110,Private households,N,,,
1187,921110,Executive offices,N,,,
1188,921120,Legislative bodies,N,,,
1189,921130,Public finance activities,N,,,
1190,921140,"Executive and legislative offices, combined",N,,,
1191,921150,Tribal governments,N,,,
1192,921190,Other general government support,N,,,
1193,922110,Courts,N,,,
1194,922120,Police protection,N,,,
1195,NAICS 2007,Title,Included,"Category ofgreeneconomicactivity(1-7)","Definitionelements(1-4)",Example of green good or service
1196,922130,Legal counsel and prosecution,N,,,
1197,922140,Correctional institutions,N,,,
1198,922150,Parole offices and probation offices,N,,,
1199,922160,Fire protection,N,,,
1200,922190,Other justice and safety activities,N,,,
1201,923110,Administration of education programs,N,,,
1202,923120,Administration of public health programs,N,,,
1203,923130,Other human resource programs administration,N,,,
1204,923140,Administration of veterans' affairs,N,,,
1205,924110,"Air, water, and waste program administration",Y,7,1,Administer waste collection programs
1206,924120,Administration of conservation programs,Y,7,1,Administer conservation programs
1207,925110,Administration of housing programs,N,,,
1208,925120,Urban and rural development administration,N,,,
1209,926110,Administration of general economic programs,Y,7,1,Green jobs training
1210,926120,Transportation program administration,Y,7,1,Mass transit planning
1211,926130,Utility regulation and administration,Y,7,1,Utility regulation
1212,926140,Agricultural market and commodity regulation,Y,7,1,Certifies organic producers
1213,926150,Licensing and regulating commercial sectors,Y,7,1,Regulate businesses for environmental compliance
1214,927110,Space research and technology,N,,,
1215,928110,National security,N,,,
1216,928120,International affairs,N,,,
